
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
ES,2021,16.91558,,96.2196695357409,6.68314420473001,2.55611236501613,2.91575876060378,-8.904203792200406,0.0,0.0,-9.325852759698616,14.781
ES,2022,,,86.1689000450631,6.17931219966114,4.71187421007816,3.06044108799909,-10.445649563309336,2.5,2.5,-11.032447757048748,12.917
FI,2000,13.11089,11.6,,5.75373770498848,1.63739243267639,,,4.75,4.75,,11.134
FI,2001,10.2994,10.5,52.5812671024794,2.64026205699308,3.30463108407764,,17.408675799086758,3.25,3.25,,10.29
FI,2002,11.6009,11.7,55.4134733751634,1.68732644358099,0.943133244036815,,5.386340856267524,2.75,2.75,5.246284832717496,10.423
FI,2003,10.50494,18.700001,60.2798687003177,2.01179992738312,0.189982953920136,,8.781971294611978,2.0,2.0,8.41754296904007,10.469
FI,2004,24.81151,19.1,63.7283373545587,4.00537952277651,0.602239790683768,,5.720763380200955,2.0,2.0,5.563112449567864,10.358
FI,2005,24.36482,17.200001,69.2504827954769,2.77730918518017,0.929374287942778,,8.665133393007295,2.25,2.25,8.310079673066006,9.602
FI,2006,24.55693,15.1,73.4098495322832,4.01957326515895,0.920180213508985,,6.006263882795593,3.5,3.5,5.832799961196056,8.935
FI,2007,18.3152,15.1,76.2791418750234,5.31280176694145,2.75439824542774,0.226516077373678,3.908593139778027,4.0,4.0,3.83414145660419,6.854
FI,2008,13.07524,13.6,80.1037821809702,0.784431235717051,3.03758641607111,0.409453887918507,5.014005417382816,2.5,2.5,4.892354020190837,6.369
FI,2009,12.95395,14.6,86.1875808182243,-8.07603116552393,1.77522561944836,0.56999382899243,7.594895611183006,1.0,1.0,7.3203022056570255,8.249
FI,2010,10.77478,14.408582,87.9370917420953,3.1682879121621,0.348872946424805,0.505748742041625,2.029887493374294,1.0,1.0,2.0095599016698,8.394
FI,2011,8.436144,14.187978,89.4401861829956,2.39039455396828,2.60092840038482,0.456371196024312,1.7092837744834943,1.0,1.0,1.694839878491372,7.781
FI,2012,8.522068,16.982143,92.0096018524988,-1.52284013040689,2.94534602282646,0.445132847109479,2.8727754034927333,0.75,0.75,2.8322848507949416,7.689
FI,2013,9.557652,15.976281,93.2372467407382,-0.979741024949618,2.56139415952232,0.440752731540527,1.3342573639297362,0.25,0.25,1.325434543143622,8.193
FI,2014,9.067446,17.285257,93.2928517645916,-0.4780684247837,1.64467051608914,0.847591074961831,0.0596382087600932,0.05,0.05,0.0596204322477866,8.663
FI,2015,11.05559,22.907267,94.9279706173403,0.466503766322674,1.63270237918134,0.93246083066103,1.7526732454000271,0.05,0.05,1.7374910671556163,9.376
FI,2016,15.04451,23.336504,94.6851662131404,2.57193414898754,0.05519539775689,1.04758761475179,-0.2557775149103936,0.0,0.0,-0.2561051844519824,8.818
FI,2017,13.97095,21.418805,93.7509456801331,3.30337003591039,0.836045933090816,0.72626236804278,-0.9866598648666236,0.0,0.0,-0.9915596091579992,8.64
FI,2018,17.20489,21.465476,94.477048791531,1.19297759742292,1.98705901186365,0.950566178824407,0.7745021728903678,0.0,0.0,0.7715183016733462,7.361
FI,2019,16.28398,20.62433,95.5194157254379,1.34973845741737,1.48185903627636,1.5073192904517,1.1033017513141452,0.0,0.0,1.0972597777212378,6.695
FI,2020,17.83522,19.975197,100.570251325157,-2.49103605535707,1.63841596860614,1.45017555342117,5.28775805563686,0.0,0.0,5.152696861215222,7.759
FI,2021,17.11392,,98.5837982987892,2.67634641498897,2.49284202465265,1.47082760274416,-1.9751894821713576,0.0,0.0,-1.994957080999704,7.617
FI,2022,,,94.6959250004697,0.763041912763526,6.17278075702792,1.35188387148659,-3.943724390224934,2.5,2.5,-4.023596200236934,6.719
FR,2000,19.75932,11.9,,4.14099996402915,1.41757333768415,,,4.75,4.75,,10.218
FR,2001,19.71619,12.1,77.3660995997081,1.89946701186636,1.90239797511535,,2.5569176882662026,3.25,3.25,,8.61
FR,2002,20.90429,11.5,76.5079746437337,1.06775027069419,2.06427792329687,,-1.1091743805288434,2.75,2.75,-1.115371587390701,8.702
FR,2003,20.2983,11.9,75.9431226826294,0.967827182558352,1.80137944811318,,-0.7382916143507834,2.0,2.0,-0.7410304757391017,8.306
FR,2004,19.58762,11.5,76.959204890114,2.86825052501032,1.63363930976588,,1.337951576906926,2.0,2.0,1.3290800483630072,8.914
FR,2005,15.8046,11.3,80.3112764767946,1.88856584109286,1.96210336343643,,4.355647373783111,2.25,2.25,4.263456560863954,8.882
FR,2006,18.901,10.9,84.3196891389306,2.71406448755236,1.99737953136012,,4.991095694132319,3.5,3.5,4.870535766043638,8.832
FR,2007,13.54683,,88.9392682081926,2.53048188351066,2.38503020327239,,5.478648126477892,4.0,4.0,5.333835901818063,8.008
FR,2008,10.16272,10.5,92.6045868248121,0.380171435849121,2.30079918762539,3.24235571721792,4.121147711761664,2.5,2.5,4.038491704872449,7.386
