
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
IT,2014,12.98474,1,18.0330469839719,18.0330469839719,0,14.304929,14.304929,0,88.0646007046889,0.8788956959460847,-2.3976291273049566,-2.4268401135651096,-0.0013876173045446,0.902550708834269,12.683,0.05,0,0,0
IT,2015,14.51827,1,18.064368830052,18.064368830052,0,14.788844,14.788844,0,86.7679522186824,0.8573953059509449,-1.472383313647918,-1.4833304656783677,0.885667635240807,0.782776477740896,11.896,0.05,0,0,0
IT,2016,11.89046,1,17.1162385246125,17.1162385246125,0,13.751059,13.751059,0,84.0804391360283,-0.1831971064709137,-3.097356816582142,-3.1463390028740434,1.23622108511661,1.24817184167345,11.688,0.0,0,0,0
IT,2017,15.72168,1,14.3832990405839,14.3832990405839,0,16.714913,16.714913,0,79.5556072738612,-2.8013648978040067,-5.381551177256194,-5.53177096761388,1.60369995294101,0.709821715080693,11.211,0.0,0,0,0
IT,2018,14.28886,1,8.38628316437891,8.38628316437891,0,16.050502,16.050502,0,75.441160157782,-4.859601745001754,-5.17178770556761,-5.310322295809389,0.826646712344115,1.07058151640653,10.61,0.0,0,0,0
IT,2019,13.60503,1,6.74918443535526,6.74918443535526,0,17.16334,17.16334,0,72.3613449346776,-5.81584405475364,-4.082407026433699,-4.168076968746526,0.429162533780342,1.04700690430435,9.951,0.0,0,0,0
IT,2020,11.82571,1,4.35972073669912,4.35972073669912,0,19.287251,19.287251,0,81.0726558295782,5.052814861844169,12.03862490776604,11.367349110256251,-8.86822122185345,1.57740278796771,9.164,0.0,0,0,1
IT,2021,13.16945,1,3.34809683915318,3.34809683915318,0,,19.287251,1,74.4472993704123,0.6431524371413389,-8.172122143245165,-8.525425410638654,8.93106210800055,1.28332187292641,9.497,0.0,0,0,0
IT,2022,,0,2.79682283767597,2.79682283767597,0,,19.287251,1,68.3171872733754,-3.23887685686384,-8.234163158204765,-8.593010531864653,4.82117669913565,3.45535917134771,8.069,2.5,0,0,0
LT,2000,6.912165,1,,5.9947885892443,1,16.299999,16.299999,0,,-1.5355621315561407,,,3.41862206571636,1.33167340047487,15.931,4.75,0,0,0
LT,2001,6.261259,1,,5.9947885892443,1,15.7,15.7,0,,-1.272520916904476,,,6.48412665187908,-0.316237571319192,16.84,3.25,0,0,0
