
country,year,short_nominal_cs,inflation,real_rate_cs
MT,2001,3.5,4.3703577622894,-0.8703577622893999
MT,2002,3.0,2.6327565910166,0.3672434089833998
MT,2003,2.25,2.03509049018481,0.21490950981519008
MT,2004,2.25,2.51336390858192,-0.26336390858191994
MT,2005,2.5,1.96456655373768,0.53543344626232
MT,2006,3.75,2.27230959895456,1.47769040104544
MT,2007,4.25,2.24029427314802,2.00970572685198
MT,2008,2.75,3.37328319621939,-0.6232831962193899
MT,2009,1.25,2.2464235361428,-0.9964235361428
MT,2010,1.25,2.76562917696803,-1.5156291769680301
MT,2011,1.25,1.48287268081009,-0.23287268081009005
MT,2012,1.0,2.15973974277171,-1.15973974277171
MT,2013,0.5,2.25574521031584,-1.75574521031584
MT,2014,0.3000000007450581,2.27101333965535,-1.971013338910292
MT,2015,0.3000000007450581,4.20024275785261,-3.900242757107552
MT,2016,0.25,2.12564879127972,-1.87564879127972
MT,2017,0.25,2.13502563545586,-1.88502563545586
MT,2018,0.25,1.79841671689434,-1.54841671689434
MT,2019,0.25,2.50640359192941,-2.25640359192941
MT,2020,0.25,1.86421393908336,-1.61421393908336
MT,2021,0.25,2.4475861350641,-2.1975861350641
MT,2022,2.75,5.07174749639634,-2.3217474963963403
NL,2000,4.95,3.27013371224606,1.6798662877539403
NL,2001,3.45,4.37499184333423,-0.9249918433342295
NL,2002,2.95,3.87769356261167,-0.9276935626116698
NL,2003,2.2,2.28608662881584,-0.08608662881583973
NL,2004,2.2,1.19744972515868,1.0025502748413202
NL,2005,2.45,1.97959013183055,0.4704098681694502
NL,2006,3.7,2.57662114799857,1.12337885200143
NL,2007,4.2,2.04942752978796,2.1505724702120403
NL,2008,2.7,2.41226614668635,0.2877338533136502
NL,2009,1.2,0.437660527727786,0.7623394722722139
NL,2010,1.2,0.710272807048582,0.489727192951418
NL,2011,1.2,0.242655838190146,0.9573441618098539
NL,2012,0.95,1.32912962087366,-0.3791296208736601
NL,2013,0.45,1.144927441192,-0.6949274411920001
NL,2014,0.2500000007450581,0.344078059275915,-0.09407805853085688
NL,2015,0.2500000007450581,0.888432954114009,-0.6384329533689509
NL,2016,0.2,0.565543760069971,-0.36554376006997097
NL,2017,0.2,1.43932706656167,-1.23932706656167
NL,2018,0.2,2.53340289331616,-2.3334028933161597
NL,2019,0.2,3.02788370008784,-2.8278837000878396
NL,2020,0.2,2.35573022306261,-2.15573022306261
NL,2021,0.2,2.74734329748038,-2.54734329748038
NL,2022,2.7,6.15557496508328,-3.4555749650832794
PT,2000,5.05,3.42026966696693,1.62973033303307
PT,2001,3.55,3.71598299337472,-0.16598299337472033
PT,2002,3.05,4.18978090882953,-1.1397809088295299
PT,2003,2.3,3.42715357062571,-1.12715357062571
PT,2004,2.3,2.39961482867031,-0.09961482867031002
PT,2005,2.55,3.3329038947892,-0.7829038947892002
PT,2006,3.8,3.18454149661389,0.61545850338611
PT,2007,4.3,2.96634577436232,1.3336542256376798
PT,2008,2.8,1.73772487852058,1.0622751214794197
PT,2009,1.3,1.09813465335151,0.2018653466484901
PT,2010,1.3,0.782135853055536,0.517864146944464
PT,2011,1.3,-0.260435396491971,1.560435396491971
PT,2012,1.05,-0.376402197541935,1.426402197541935
PT,2013,0.55,2.27438669661049,-1.72438669661049
PT,2014,0.3500000007450581,0.724456770990784,-0.3744567702457259
PT,2015,0.3500000007450581,1.9624469996234,-1.6124469988783419
PT,2016,0.3,1.85408704173796,-1.55408704173796
PT,2017,0.3,1.53220042451687,-1.23220042451687
PT,2018,0.3,1.85237243801184,-1.55237243801184
PT,2019,0.3,1.83436778363703,-1.53436778363703
PT,2020,0.3,2.10314336719686,-1.8031433671968597
PT,2021,0.3,2.01977614131548,-1.71977614131548
PT,2022,2.8,5.32749909841736,-2.52749909841736
SI,2000,5.1,5.53606175369798,-0.43606175369798006
SI,2001,3.6,8.70000810232166,-5.100008102321661
SI,2002,3.1,7.61980959695788,-4.519809596957879
SI,2003,2.35,5.66345775944367,-3.31345775944367
SI,2004,2.35,3.35817227706201,-1.0081722770620098
SI,2005,2.6,1.5029969925608,1.0970030074392
SI,2006,3.85,2.22360248403123,1.6263975159687702
SI,2007,4.35,4.20025173716738,0.14974826283261944
SI,2008,2.85,4.50501487355174,-1.6550148735517403
SI,2009,1.35,2.73283928388418,-1.3828392838841799
SI,2010,1.35,-0.491469444600767,1.8414694446007671
SI,2011,1.35,1.3645204070481,-0.014520407048099981
SI,2012,1.1,0.626618590822474,0.47338140917752614
SI,2013,0.6,1.13279718785073,-0.5327971878507299
SI,2014,0.4000000007450581,0.631551450779483,-0.23155145003442495
SI,2015,0.4000000007450581,0.867198319325425,-0.4671983185803669
SI,2016,0.35,0.885482436856336,-0.535482436856336
SI,2017,0.35,1.28763102357318,-0.9376310235731801
SI,2018,0.35,2.18095370305853,-1.8309537030585301
SI,2019,0.35,2.33858654999968,-1.9885865499996798
SI,2020,0.35,1.18953318282115,-0.83953318282115
SI,2021,0.35,2.689963166735,-2.339963166735
SI,2022,2.85,6.51714978292448,-3.6671497829244797
SK,2000,5.03,9.68118082125189,-4.651180821251891
SK,2001,3.5300000000000002,5.37522946420054,-1.84522946420054
SK,2002,3.0300000000000002,4.04623659179444,-1.0162365917944394
SK,2003,2.2800000000000002,5.44607964570642,-3.1660796457064198
SK,2004,2.2800000000000002,5.90529858973181,-3.62529858973181
SK,2005,2.5300000000000002,2.64656691190419,-0.11656691190418966
SK,2006,3.7800000000000002,2.89553948818457,0.8844605118154303
SK,2007,4.28,1.17772752387391,3.1022724761260903
SK,2008,2.7800000000000002,2.98536250830593,-0.20536250830592984
SK,2009,1.28,-1.12257244186777,2.40257244186777
SK,2010,1.28,0.470528553269702,0.809471446730298
SK,2011,1.28,1.61977051205542,-0.33977051205541997
SK,2012,1.03,1.33888239127128,-0.3088823912712799
SK,2013,0.53,0.534061870297393,-0.004061870297393022
SK,2014,0.33000000074505814,-0.132602518843782,0.46260251958884013
SK,2015,0.33000000074505814,-0.185692827685429,0.5156928284304871
SK,2016,0.28,-0.390909342389534,0.670909342389534
SK,2017,0.28,1.18187258373648,-0.90187258373648
SK,2018,0.28,2.10864838172743,-1.8286483817274302
SK,2019,0.28,2.40120783642419,-2.1212078364241895
SK,2020,0.28,2.40777956608554,-2.1277795660855396
SK,2021,0.28,2.24388381566803,-1.9638838156680298
SK,2022,2.7800000000000002,7.48889900247143,-4.70889900247143
